,frame_name,frame_definition,lexical_units_list
0,Abundância_distribuída,"Existe uma Localização e um Tema grande ou abundante. A Localização e o Tema são em grande parte coexistentes, isto é, ocupam a mesma área.","cobrir.v
revestir.v"
1,Abandono,Um Agente deixa para trás um Tema efetivamente tornando-o fora de seu controle ou da segurança normal como propriedade da pessoa.,"abandonado.a
abandonar.v
abandono.n
deixar.v
esquecer.v
esquecido.a
negligenciar.v"
2,Abertura,"Um Local_útil é acessível para algum Tema (possivelmente genérico) apesar de uma Barreira potencial, ou não é acessível devido à Barrieira.","aberto.a
fechado.a"
3,Absorção_de_calor,"Uma Entidade (geralmente comida) é exposta a uma Fonte_de_calor na qual a Temperatura pode também ser especificada. Geralmente, a Entidade sofre algum tipo de mudança como resultado desse processo.","assar.v
branquear.v
cozinhar.v
dourar.v
ferventar.v
ferver.v
fritar.v
grelhar.v
refogar.v"
4,Abster-se,Um Renunciante decide não participar de algo comum que seja Desejável.,
5,Abundância,A Quantidade de uma Coleção ocorre em um Lugar e tem uma Medida particular. A Medida da Coleção é referida apenas em termos de como a Medida diverge de um padrão para a Coleção de um tipo específico. Grau pode talmbém refinar a relação da Medida com o padrão.,"abundante.a
abundar.v
rico.a"
6,Abundância_distribuída,"Existe uma Localização e um Tema grande ou abundante. A Localização e o Tema são em grande parte coexistentes, isto é, ocupam a mesma área.","cobrir.v
revestir.v"
7,Abundar_com,"Um Local é preenchido ou coberto com o Tema. O Local é percebido como o Argumento Externo, e o Tema como complemento SP encabeçado por com, por or de.NB: Este frame não inclui usos de adjetivos como pavimentado quando eles apenas especificam o Tipo de algum local.","abarrotado.a
abundante.a
adornado.a
aglomerado.a
aglomerar.v
amanteigado.a
amontoado.a
asfaltado.a
aspergido.a
borrifado.a
cheio.a
coberto.a
decorado.a
desarrumado.a
dourado.a
drapeado.a
embelezado.a
emperrado.a
empilhado.a
empoeirado.a
encapotado.a
encasacado.a
encoberto.a
enfeitado.a
engatinhar.v
envernizado.a
escovado.a
esmaltado.a
espalhado.a
forrado.a
injetado.a
lacado.a
ladrilhado.a
lotado.a
manchado.a
ornamentado.a
pavimentado.a
pendurado.a
pintado.a
polvilhado.a
pontilhado.a
populacional.a
preenchido.a
proliferar.v
rastejante.a
rebocado.a
recheado.a
regado.a
repleto.a
respingado.a
salpicado.a
superlotado.a"
8,Abusar,"Um Abusador trata a Vítima de uma maneira cruel e violenta repetidamente, incluindo danos físicos ou forçando a Vítima a se envolver em uma atividade sexual contra sua vontade. A Vítima usualmente não tem o poder de resistir ou lutar. Um Tipo de abuso pode ser indicado. Pode também haver um Grau.","abusar.v
abuso.n"
9,Acabar_de_descobrir,"Um Experienciador, Expressor, ou Estado pode ser descrito como tendo uma emoção surpresa, como evocada por um Estímulo ou relativa a um Tópico.",chocado.a
10,Ação_sucedida,"Os Meios de ação pelos quais um agente descrito (o Protagonista) tenta alcançar um Alvo acabaram, e o resultado real dos Meios envolvidos, corresponde ou nãos especificamente à tentativa do Protagonista. Em uma construção alternativa, um instrumento é usado no lugar da ação de Meios que o agente perfilado realiza para alcançar o objetivo.","bem sucedido.a
bem-sucedido.a
bombar.v
desandar.v"
11,Ação_transitiva,"Esse frame caracteriza, em um nível muito abstrato, um Agente ou Causa que afeta um Paciente. Esse frame é herdado por muitos frames de nível inferior.",
12,Aceitar_ou_recusar_a_agir,"Um Falante tanto aceita quanto se recusa a engajar em uma Ação_proposta, proposta por um Interlocutor.","recusar.v
resistir.v"
13,Acertar_ou_errar,Um Agente é bem-sucedido ou falha na interação perceptiva ou física com o Alvo ou a Localização_alvo. O Instrumento que é usado para interagir com o Alvo pode substituir metonimicamente o Agente.,
14,Acertar_o_alvo,Um Agente causa o movimento balístico de um projétil e seu impacto subsequente em um Alvo.,
15,Acessórios_de_vestuário,"Um Usuário usa um Acessório, o qual é feito de algum Material e pode ter um Estilo. Grande parte dos acessórios não são itens essenciais para vestir.","fita.n
máscara.n"
16,Acidente,"Durante sua estada em um Lugar, o Turista pode se ver vítima de um Acidente.",
17,Ações_do_árbitro,"Designa as ações do Árbitro durante o jogo, as quais consistem em fazer a partida ocorrer conforme as regras oficiais.","apitar fim.v
apitar início.v
apitar.v
conceder.v
decidir.v
decisão.n
desclassificar.v
desqualificar.v
encerrar.v
expulsar.v
iniciar.v
interromper.v
marcar falta.v
marcar.v
mostrar.v
paralisar.v
parar.v
reiniciar.v
suspender.v
terminar.v"
18,Acomodação,Descreve estabelecimentos comerciais que oferecem serviços de acomodação para turistas. Os estabelecimentos costumam ser classificados quanto a seu tipo e/ou qualidade.,"acampamento.n
acomodação.n
albergue.n
alojamento.n
apart-hotel.n
apartamento.n
bangalô.n
cafofo.n
camping.n
casa de férias.n
casa.n
chácara.n
chalé.n
complexo de condomínio.n
complexo residencial.n
estância.n
granja.n
hospedagem domiciliar.n
hospedagem.n
hóspede.n
hostel.n
hotel fazenda.n
hotel.n
hotelaria.n
motel.n
pensão.n
pousada.n
rancho.n
resort.n
sítio.n"
19,Acompanhamento,Um Coparticipante preenche o mesmo papel que o Participante em um evento ou relação.,"a sós.idio
acompanhar.v
com.c
com.prep
companhia.n
individual.a
junto.a
sozinho.a
unido.a"
20,Acordar,Um Dormidor transita por um estado de consciência onde ele está completamente inconsciente sobre a sua volta para um estado em que está acordado.,acordar.v
21,Acumular,"Um Recipiente (que pode ou não ser agentivo) termina em posse de uma Massa (que pode ser conceptualizado como uma única entidade de massa ou como um grupo de entidades individuais). Algumas unidades lexicais especificamente indicam um Recipiente intencional. Esse frame difere do Reunir pois refere especificamente à aquisição e (de acordo com a expectativa) posse de longo prazo de entidades, ao invés de (como no frame de Coletar) simplesmente falar sobre a causa de entidades estarem no mesmo lugar. Resumindo, Reunir diz respeito a (co-)localizações, mas acumular diz respeito à posse.",
22,Acusação,"Em uma audiência, um Réu é informado sobre as Acusações contra ele ou ela, (geralmente) entra em uma alegação e uma decisão é tomada por um Juiz quanto à quantidade de fiança, se houver.",
23,Adequação,"Este Frame está preocupado com a avaliação de um Avaliado como um ser adequado para um Propósito ou Usuário, pressupondo algumas escolhas que está sendo feitas sobre as quais o Avaliado usa para o Propósito ou Usuário. Uma UL como adequado.a, então, implica que dado um Propósito ou /Usuário em particular, o Avaliado é um que deve ser escolhido. O Avaliado pode ser considerado adequado em um Grau maior ou menor. Este frame tem algumas similaridades com o frame de compatibilidade onde dois itens são avaliados com respeito a sua compatibilidade com outro contra um ponto de referência.","adequação.n
adequado.a
adequar.v
ambientar.v
apropriado.a
bom senso.n
bom.a
certo.a
climatização.n
climatizar.v
correto.a
inadequação.n
inadequado.a
inapropriado.a
indicado.a
prestar.v
próprio.a
servir.v"
24,Adiar,Um Agente decide temporariamente não executar um Ação_desejável ou não interagir com uma Entidade_saliente.,
25,Adição,Um Pensador computa um Resultado com base nos Números de entrada pela adição.,"acrescentar.v
adicionar.v
mais.adv
somar.v"
26,Adjacência,"Uma Figura está localizada adjacente a um Fundo. Isto é equivalente a Figura e o Fundo ou constituírem ou estarem associadas com uma zona, com cada zona em contato com a zona do outro.","adjacência.n
adjacente.a
contiguidade.n
contíguo.a
estar junto.v
juntar.v
limitante.a
limitar.v
vizinho.n"
27,Adotar_seleção,"Um Agente seleciona e então começa a usar algum Valor para umAtributo. O Atributo inclui tanto tipos físicos (tamanho, cor) quanto abstratos (crença, práticas). Para algumas ULs neste frame, é comum apenas o Valor ser expressado, com o Atributo implícito. (Muitas vezes, este atributo implícito pode ser dado em expressão de segunda camada no Valor. Note-se que tal anotação de segunda camada poderia ser assumida nos primeiros dois exemplos abaixo.)","adoção.n
adotar.v
assumir.v
seguir.v"
28,Adquirir,"Um Receptor começa sem o Tema em sua posse, e então vem a possuí-lo. Embora a Fonte da qual o Tema surgiu seja logicamente necessária, o Receptor e sua relação de mudança com o Tema são perfilados.","conseguir.v
ganhar.v
obtido.a
reconquistar.v
recuperar.v"
29,Afetar_intencionalmente,"Um Agente faz com que um Paciente seja afetado, às vezes por um Meio em particular ou pelo uso de um Instrumento.",
30,Afetar_pelo_evento,"Uma Entidade sofre alguma alteração, o Evento, que é interpretada como pontual.","acontecer.v
assolar.v
atingir.v
levar.v
sofrer.v
ver.v"
31,Afetar_pensador_pelo_evento,"Um Evento faz com que o Pensador aceite algum Conteúdo. Embora o Pensador forme uma intenção, não implica que ele / ela atue.",
32,Afirmar_ou_negar,"Um Falante usa uma língua para afirmar ou negar a verdade de uma Mensagem para um Destinatário. Uma Mídia também pode ser mencionado no lugar do Falante ou adicionalmente a este. Do mesmo modo, um Tópico pode ser mencionado em lugar de uma Mensagem.","inegável.a
negar.v
negativo.a"
33,Agir_intencionalmente,Este é um frame abstrato que trata de ações realizadas por seres conscientes.,"ação.n
agente.n
agir.v
atitude.n
atividade.n
ato.n
ator.n
atuar.v
conduzir.v
coordenação.n
desempenho.n
empenhar.v
empreender.v
engajar.v
execução.n
executar.v
fase.n
fazer.v
feito.n
gesto.n
medida.n
missão.n
movimento.n
obra.n
passo.n
perfazer.v
promover.v
realizar.v"
